Rank,Attitude,Inc_deg,Alt_km,LTAN_h,Passes_BA,Visible_min,Eclipse_%,BestRad,Score,Rad+X_Wh,Rad+X_Tcm5,Rad+X_Tbat,Rad+X_Panels,Rad+X_ThermalKey,Rad-X_Wh,Rad-X_Tcm5,Rad-X_Tbat,Rad-X_Panels,Rad-X_ThermalKey,Rad+Y_Wh,Rad+Y_Tcm5,Rad+Y_Tbat,Rad+Y_Panels,Rad+Y_ThermalKey,Rad-Y_Wh,Rad-Y_Tcm5,Rad-Y_Tbat,Rad-Y_Panels,Rad-Y_ThermalKey,Rad+Z_Wh,Rad+Z_Tcm5,Rad+Z_Tbat,Rad+Z_Panels,Rad+Z_ThermalKey,Rad-Z_Wh,Rad-Z_Tcm5,Rad-Z_Tbat,Rad-Z_Panels,Rad-Z_ThermalKey
1,10x10_nadir,98.50,600,10.00,4,28.0,34.4,-Y,72.9,59.04,33.2,21.4,+Y+-X+-Z++Z,1.371,59.18,32.1,16.3,+Y++X+-Z++Z,1.336,50.01,28.0,13.7,-X++X+-Z++Z,1.287,71.87,40.7,22.1,+Y+-X++X+-Z,1.387,71.94,42.4,21.5,+Y+-X++X+-Z,1.360,59.79,35.1,21.4,+Y+-X++X++Z,1.354
2,10x10_nadir,98.20,600,10.00,4,28.0,34.4,-Y,72.8,59.08,33.3,21.4,+Y+-X+-Z++Z,1.370,59.20,32.0,16.3,+Y++X+-Z++Z,1.337,50.00,28.0,13.7,-X++X+-Z++Z,1.287,71.89,40.8,22.1,+Y+-X++X+-Z,1.386,71.96,42.5,21.5,+Y+-X++X+-Z,1.359,59.82,35.2,21.4,+Y+-X++X++Z,1.352
3,10x10_nadir,97.90,600,10.00,4,28.0,34.4,-Y,72.8,59.12,33.4,21.4,+Y+-X+-Z++Z,1.370,59.21,32.1,16.3,+Y++X+-Z++Z,1.336,49.99,28.0,13.7,-X++X+-Z++Z,1.288,71.91,40.8,22.1,+Y+-X++X+-Z,1.386,71.98,42.5,21.5,+Y+-X++X+-Z,1.359,59.85,35.2,21.4,+Y+-X++X++Z,1.352
4,10x10_nadir,98.80,600,10.00,4,28.0,34.5,-Y,72.6,59.00,33.1,21.3,+Y+-X+-Z++Z,1.371,59.18,32.0,16.3,+Y++X+-Z++Z,1.336,50.03,28.0,13.7,-X++X+-Z++Z,1.287,71.86,40.5,22.1,+Y+-X++X+-Z,1.390,71.93,42.2,21.5,+Y+-X++X+-Z,1.363,59.77,34.9,21.4,+Y+-X++X++Z,1.357
5,10x10_nadir,98.80,650,10.00,4,26.0,34.3,-Y,71.3,59.55,32.7,20.7,+Y+-X+-Z++Z,1.374,59.07,31.8,15.0,+Y++X+-Z++Z,1.325,50.19,27.7,13.0,-X++X+-Z++Z,1.285,71.98,40.1,20.7,+Y+-X++X+-Z,1.382,72.05,41.8,20.1,+Y+-X++X+-Z,1.356,60.13,34.5,20.0,+Y+-X++X++Z,1.350
6,10x15_nadir,98.50,600,10.00,4,28.0,34.4,+Y,71.1,69.19,40.6,20.7,-Y+-X+-Z++Z,1.354,50.80,29.7,19.8,-Y+-Z++Z++X,1.333,68.74,40.7,22.2,-Y+-X+-Z++Z,1.363,47.39,28.2,15.4,-X+-Z++Z++X,1.280,60.81,40.0,24.8,-Y+-X+-Z++X,1.335,60.93,38.6,19.9,-Y+-X++Z++X,1.304
7,10x15_nadir,98.20,600,10.00,4,28.0,34.4,+Y,71.0,69.21,40.7,20.7,-Y+-X+-Z++Z,1.353,50.83,29.8,19.7,-Y+-Z++Z++X,1.332,68.76,40.8,22.1,-Y+-X+-Z++Z,1.362,47.38,28.2,15.4,-X+-Z++Z++X,1.280,60.85,40.1,24.8,-Y+-X+-Z++X,1.334,60.94,38.7,19.9,-Y+-X++Z++X,1.303
8,10x15_nadir,97.90,600,10.00,4,28.0,34.4,+Y,71.0,69.22,40.7,20.7,-Y+-X+-Z++Z,1.352,50.86,29.8,19.7,-Y+-Z++Z++X,1.332,68.77,40.8,22.1,-Y+-X+-Z++Z,1.362,47.37,28.2,15.4,-X+-Z++Z++X,1.280,60.88,40.1,24.8,-Y+-X+-Z++X,1.334,60.96,38.7,19.9,-Y+-X++Z++X,1.302
9,10x15_nadir,98.80,600,10.00,4,28.0,34.5,+Y,70.8,69.17,40.4,20.7,-Y+-X+-Z++Z,1.355,50.77,29.4,19.8,-Y+-Z++Z++X,1.336,68.72,40.5,22.2,-Y+-X+-Z++Z,1.365,47.40,28.3,15.3,-X+-Z++Z++X,1.279,60.79,39.7,24.8,-Y+-X+-Z++X,1.338,60.92,38.6,19.9,-Y+-X++Z++X,1.303
10,10x10_nadir,97.60,600,10.00,4,24.0,34.4,-Y,70.3,59.15,33.4,21.6,+Y+-X+-Z++Z,1.372,59.22,32.1,16.3,+Y++X+-Z++Z,1.336,49.98,27.9,13.7,-X++X+-Z++Z,1.288,71.93,40.8,22.1,+Y+-X++X+-Z,1.386,72.00,42.5,21.4,+Y+-X++X+-Z,1.359,59.87,35.2,21.3,+Y+-X++X++Z,1.352
